MONTH_DATE,CITY,COMPOSITE_BENCHMARK,COMPOSITE_BENCHMARK_CHANGE,MORTGAGE_ARREARS,LOAN_TO_INCOME_RATIO,DEBT_SERVICE_RATIO,MORTGAGE_RATE_5YRS_FIXED,MORTGAGE_RATE_5YRS_VARIABLE,POLICY_RATE,POLICY_RATE_CHANGE,BENCHMARK_TO_RATE_RATIO,BENCHMARK_YOY_PERCENTAGE_CHANGE
2018-02-01,WINNIPEG,273700,3000.0,,,,3.24,2.5,1.25,0.0,218960.0,
2018-03-01,WINNIPEG,275100,1400.0,,,,3.24,2.5,1.25,0.0,220080.0,
2018-04-01,WINNIPEG,277100,2000.0,20.0,267.87,16.17,3.24,2.5,1.25,0.0,221680.0,
2018-05-01,WINNIPEG,276500,-600.0,,,,3.34,2.45,1.25,0.0,221200.0,
2018-06-01,WINNIPEG,276100,-400.0,,,,3.34,2.55,1.25,0.0,220880.0,
2018-07-01,WINNIPEG,275000,-1100.0,20.0,272.89,16.44,3.34,2.7,1.5,0.25,183333.33,
2018-08-01,WINNIPEG,275800,800.0,,,,3.34,2.8,1.5,0.0,183866.67,
2018-09-01,WINNIPEG,273000,-2800.0,,,,3.44,2.8,1.5,0.0,182000.0,
2018-10-01,WINNIPEG,271300,-1700.0,20.0,271.9,16.69,3.54,2.95,1.75,0.25,155028.57,
2018-11-01,WINNIPEG,269400,-1900.0,,,,3.59,2.95,1.75,0.0,153942.86,
2018-12-01,WINNIPEG,266400,-3000.0,,,,3.6,3.1,1.75,0.0,152228.57,
2019-01-01,WINNIPEG,271900,5500.0,21.0,271.89,17.11,3.59,2.95,1.75,0.0,155371.43,0.44
2019-02-01,WINNIPEG,274500,2600.0,,,,3.49,2.95,1.75,0.0,156857.14,0.29
2019-03-01,WINNIPEG,279700,5200.0,,,,3.29,2.95,1.75,0.0,159828.57,1.67
2019-04-01,WINNIPEG,280600,900.0,21.0,273.05,16.59,3.09,2.95,1.75,0.0,160342.86,1.26
2019-05-01,WINNIPEG,281300,700.0,,,,2.99,2.95,1.75,0.0,160742.86,1.74
2019-06-01,WINNIPEG,281900,600.0,,,,2.79,2.97,1.75,0.0,161085.71,2.1
2019-07-01,WINNIPEG,278800,-3100.0,21.0,282.51,16.63,2.77,2.95,1.75,0.0,159314.29,1.38
2019-08-01,WINNIPEG,278700,-100.0,,,,2.69,2.99,1.75,0.0,159257.14,1.05
2019-09-01,WINNIPEG,275700,-3000.0,,,,2.69,2.95,1.75,0.0,157542.86,0.99
2019-10-01,WINNIPEG,274700,-1000.0,21.0,284.93,16.61,2.79,2.95,1.75,0.0,156971.43,1.25
2019-11-01,WINNIPEG,274400,-300.0,,,,2.74,2.95,1.75,0.0,156800.0,1.86
2019-12-01,WINNIPEG,272600,-1800.0,,,,2.84,2.95,1.75,0.0,155771.43,2.33
2020-01-01,WINNIPEG,276000,3400.0,21.0,284.11,16.56,2.82,2.89,1.75,0.0,157714.29,1.51
2020-02-01,WINNIPEG,280500,4500.0,,,,2.69,2.35,1.75,0.0,160285.71,2.19
2020-03-01,WINNIPEG,283800,3300.0,,,,2.54,2.08,0.25,-1.5,1135200.0,1.47
2020-04-01,WINNIPEG,281700,-2100.0,22.0,283.42,15.85,2.54,2.25,0.25,0.0,1126800.0,0.39
2020-05-01,WINNIPEG,286300,4600.0,,,,2.39,2.2,0.25,0.0,1145200.0,1.78
2020-06-01,WINNIPEG,291500,5200.0,,,,2.24,2.0,0.25,0.0,1166000.0,3.41
2020-07-01,WINNIPEG,293100,1600.0,22.0,295.17,15.9,2.09,1.99,0.25,0.0,1172400.0,5.13
2020-08-01,WINNIPEG,294600,1500.0,,,,1.99,1.9,0.25,0.0,1178400.0,5.71
2020-09-01,WINNIPEG,294900,300.0,,,,1.87,1.8,0.25,0.0,1179600.0,6.96
2020-10-01,WINNIPEG,298400,3500.0,20.0,306.74,15.95,1.83,1.75,0.25,0.0,1193600.0,8.63
2020-11-01,WINNIPEG,296400,-2000.0,,,,1.79,1.7,0.25,0.0,1185600.0,8.02
2020-12-01,WINNIPEG,296600,200.0,,,,1.74,1.6,0.25,0.0,1186400.0,8.8
2021-01-01,WINNIPEG,304200,7600.0,19.0,306.9,15.72,1.69,1.5,0.25,0.0,1216800.0,10.22
2021-02-01,WINNIPEG,312200,8000.0,,,,1.69,1.5,0.25,0.0,1248800.0,11.3
2021-03-01,WINNIPEG,317900,5700.0,,,,1.94,1.45,0.25,0.0,1271600.0,12.02
2021-04-01,WINNIPEG,326600,8700.0,17.0,316.35,16.08,2.04,1.45,0.25,0.0,1306400.0,15.94
2021-05-01,WINNIPEG,330400,3800.0,,,,2.09,1.43,0.25,0.0,1321600.0,15.4
2021-06-01,WINNIPEG,335100,4700.0,,,,2.09,1.43,0.25,0.0,1340400.0,14.96
2021-07-01,WINNIPEG,329000,-6100.0,16.0,318.61,16.11,2.09,1.38,0.25,0.0,1316000.0,12.25
2021-08-01,WINNIPEG,330600,1600.0,,,,2.09,1.35,0.25,0.0,1322400.0,12.22
2021-09-01,WINNIPEG,330200,-400.0,,,,1.94,1.3,0.25,0.0,1320800.0,11.97
2021-10-01,WINNIPEG,329800,-400.0,14.000000000000002,318.8,16.04,2.19,1.3,0.25,0.0,1319200.0,10.52
2021-11-01,WINNIPEG,334400,4600.0,,,,2.52,1.3,0.25,0.0,1337600.0,12.82
2021-12-01,WINNIPEG,330200,-4200.0,,,,2.64,1.35,0.25,0.0,1320800.0,11.33
2022-01-01,WINNIPEG,351000,20800.0,13.0,318.9,16.29,2.74,1.35,0.25,0.0,1404000.0,15.38
2022-02-01,WINNIPEG,360000,9000.0,,,,2.89,1.41,0.25,0.0,1440000.0,15.31
2022-03-01,WINNIPEG,364500,4500.0,,,,3.04,1.75,0.5,0.25,729000.0,14.66
2022-04-01,WINNIPEG,365100,600.0,12.0,315.67,17.41,3.29,2.3,1.0,0.5,365100.0,11.79
2022-05-01,WINNIPEG,367400,2300.0,,,,3.79,2.7,1.0,0.0,367400.0,11.2
2022-06-01,WINNIPEG,358900,-8500.0,,,,4.09,3.0,1.5,0.5,239266.67,7.1
2022-07-01,WINNIPEG,349500,-9400.0,12.0,303.44,18.86,4.54,3.8,2.5,1.0,139800.0,6.23
2022-08-01,WINNIPEG,344400,-5100.0,,,,4.59,4.0,2.5,0.0,137760.0,4.17
2022-09-01,WINNIPEG,337700,-6700.0,,,,4.59,4.55,3.25,0.75,103907.69,2.27
2022-10-01,WINNIPEG,335400,-2300.0,12.0,285.71,19.54,5.14,5.0,3.75,0.5,89440.0,1.7
2022-11-01,WINNIPEG,327900,-7500.0,,,,5.14,5.05,3.75,0.0,87440.0,-1.94
2022-12-01,WINNIPEG,321400,-6500.0,,,,4.99,5.55,4.25,0.5,75623.53,-2.67
2023-01-01,WINNIPEG,325200,3800.0,12.0,280.0,19.72,4.79,5.8,4.5,0.25,72266.67,-7.35
2023-02-01,WINNIPEG,328300,3100.0,,,,4.84,5.8,4.5,0.0,72955.56,-8.81
2023-03-01,WINNIPEG,333400,5100.0,,,,4.74,5.8,4.5,0.0,74088.89,-8.53
2023-04-01,WINNIPEG,343000,9600.0,12.0,283.96,19.66,4.59,5.8,4.5,0.0,76222.22,-6.05
2023-05-01,WINNIPEG,346800,3800.0,,,,4.79,5.8,4.5,0.0,77066.67,-5.61
2023-06-01,WINNIPEG,346400,-400.0,,,,4.95,6.05,4.75,0.25,72926.32,-3.48
2023-07-01,WINNIPEG,345500,-900.0,13.0,286.86,20.41,5.19,6.3,5.0,0.25,69100.0,-1.14
2023-08-01,WINNIPEG,344000,-1500.0,,,,5.49,6.3,5.0,0.0,68800.0,-0.12
2023-09-01,WINNIPEG,341200,-2800.0,,,,5.59,6.3,5.0,0.0,68240.0,1.04
2023-10-01,WINNIPEG,338900,-2300.0,14.000000000000002,275.05,20.6,5.72,6.3,5.0,0.0,67780.0,1.04
2023-11-01,WINNIPEG,331100,-7800.0,,,,5.64,6.3,5.0,0.0,66220.0,0.98
2023-12-01,WINNIPEG,330500,-600.0,,,,5.24,6.3,5.0,0.0,66100.0,2.83
2024-01-01,WINNIPEG,334600,4100.0,15.0,279.01,20.37,5.09,6.3,5.0,0.0,66920.0,2.89
2024-02-01,WINNIPEG,346200,11600.0,,,,4.99,6.3,5.0,0.0,69240.0,5.45
2024-03-01,WINNIPEG,350900,4700.0,,,,4.99,6.3,5.0,0.0,70180.0,5.25
2024-04-01,WINNIPEG,355900,5000.0,15.0,,20.25,4.94,6.25,5.0,0.0,71180.0,3.76
2024-05-01,WINNIPEG,357100,1200.0,,,,4.89,6.25,5.0,0.0,71420.0,2.97
2024-06-01,WINNIPEG,361500,4400.0,,,,4.84,6.0,4.75,-0.25,76105.26,4.36
2024-07-01,WINNIPEG,360500,-1000.0,16.0,,20.01,4.74,5.75,4.5,-0.25,80111.11,4.34
2024-08-01,WINNIPEG,360700,200.0,,,,4.64,5.7,4.5,0.0,80155.56,4.85
2024-09-01,WINNIPEG,361400,700.0,,,,4.39,5.5,4.25,-0.25,85035.29,5.92
2024-10-01,WINNIPEG,360200,-1200.0,17.0,,19.81,4.39,5.05,3.75,-0.5,96053.33,6.29
2024-11-01,WINNIPEG,359300,-900.0,,,,4.34,5.01,3.75,0.0,95813.33,8.52
2024-12-01,WINNIPEG,358100,-1200.0,,,,4.34,4.55,3.25,-0.5,110184.62,8.35
2025-01-01,WINNIPEG,362000,3900.0,18.0,,19.48,4.27,4.45,3.0,-0.25,120666.67,8.19
2025-02-01,WINNIPEG,372500,10500.0,,,,4.19,4.35,3.0,0.0,124166.67,7.6
2025-03-01,WINNIPEG,383500,11000.0,,,,3.99,4.15,2.75,-0.25,139454.55,9.29
2025-04-01,WINNIPEG,384200,700.0,19.0,,18.84,3.99,4.2,2.75,0.0,139709.09,7.95
2025-05-01,WINNIPEG,386500,2300.0,,,,3.99,4.25,2.75,0.0,140545.45,8.23
2025-06-01,WINNIPEG,388600,2100.0,,,,4.09,4.25,2.75,0.0,141309.09,7.5
2025-07-01,WINNIPEG,385400,-3200.0,20.0,,18.96,4.19,4.25,2.75,0.0,140145.45,6.91
2025-08-01,WINNIPEG,383000,-2400.0,,,,4.2,4.27,2.75,0.0,139272.73,6.18
2025-09-01,WINNIPEG,380200,-2800.0,,,,4.24,4.05,2.5,-0.25,152080.0,5.2
2025-10-01,WINNIPEG,379200,-1000.0,21.0,,18.77,4.14,3.9,2.25,-0.25,168533.33,5.27
2025-11-01,WINNIPEG,378300,-900.0,,,,4.04,3.75,2.25,0.0,168133.33,5.29
2025-12-01,WINNIPEG,380400,2100.0,,,,4.14,3.75,2.25,0.0,169066.67,6.23
2026-01-01,WINNIPEG,382100,1700.0,,,,4.14,3.7,2.25,0.0,169822.22,5.55
2026-02-01,WINNIPEG,383800,1700.0,,,,3.99,3.7,2.25,0.0,170577.78,3.03
