date,mortgage_arrears,loan_to_income_ratio,debt_service_ratio,debt_service_ratio_RESL2,mortgage_rate_5yrs_fixed,mortgage_rate_5yrs_variable,policy_rate,prime_rate
2026-03-04,,,,,,,,4.45
2026-03-11,,,,,,,,4.45
2026-03-18,,,,,,,,4.45
2026-03-25,,,,,,,,4.45
2026-04-01,,,,,,,2.25,4.45
2026-04-08,,,,,,,,4.45
2026-04-15,,,,,,,,4.45
2026-04-22,,,,,,,,4.45
2026-04-29,,,,,,,,4.45
2026-05-01,,,,,,,2.25,
2026-05-06,,,,,,,,4.45
2026-05-13,,,,,,,,4.45
2026-05-20,,,,,,,,4.45
2026-05-27,,,,,,,,4.45
2026-06-03,,,,,,,,4.45
2026-06-10,,,,,,,,4.45
2026-06-17,,,,,,,,4.45
